Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158008,a) Pedagogy of Social Science
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158011,b) Pedagogy of Biological Science
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158611,Economics (Principles of Economic Analysis)
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158711,Childhood and growing up
10-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158207,Officiating and Coaching
10-Apr-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328705,Environmental Bio-Technology
10-Apr-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328805,Recombinant DNA Technology
10-Apr-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359005,Kabbaddi
10-Apr-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358607,History (1740-1947)
10-Apr-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,0358707,Cell Biology and Genetics
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228706,Recombinant DNA Technology
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228806,Microbial Genetics
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259006,Theory of Games & Sports (Basket Ball)
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258006,a) Educational Administration and Management
