Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.B.A,Business Administration,Consumer Behaviour,BBA-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.B.A,Business Administration,Consumer Behaviour,BBA-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.C.A,Computer Application,Computer Graphics & Multimedia Application,BCA-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A LL.B,Law,General English IV,BL-4001,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A LL.B,Law,English IV,BL-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.J.M.C,Journalism,Print Media-II (Editing),BJMC-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.C.S / M.Sc CS,Computer Science,Fuzzy Sets and Applications,MCS-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc CS,Computer Science,Computer Oriented Numerical Techniques,BCS-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Voc Psychology,Psychology,Counselling Psychology,ACP-4101,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Voc Yogic Science,Yoga,Yoga Therapy-2,YS-4101,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com LL.B,Law,International Marketing,BCL-4001,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),MIB,MIB,Entrepreneurship and New Venture Creations,MIB-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),BPES,Physical Education,Fundamental of Computer and its use in Physical & Sport,BPES-401,4th
6-May-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.P.Ed,Physical Education,Information and Communication Technology in Physical Education,MPCC-401,4th
6-May-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A LL.B,Law,Administrative Law,BL-8001,8th
6-May-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A LL.B,Law,Administrative Law,BL-801,8th
6-May-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Com LL.B,Law,Administrative Law,BCL-8001,8th
6-May-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Ed,Education,Curriculum Development,F-4001,4th
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.B.A,Business Administration,Business Communication,BBA-202,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.B.A,Business Administration,Business Communication,BBA-202,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.B.A,Business Administration,Marketing Management,BBA-2002,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.C.A,Computer Application,C Programming,BCA-202,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.C.A,Computer Application,Data Structures,BCA-2002,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A LL.B,Law,Sociology II,BL-2002,2nd
7-May-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A LL.B,Law,Sociology II,BL-202,2nd
